epoch,Sorensen_Dice_coef,loss,negative_precision,precision,recall,val_Sorensen_Dice_coef,val_loss,val_negative_precision,val_precision,val_recall
0,0.2177325040102005,1.3722978830337524,0.8537871241569519,0.1897493600845337,0.5758069753646851,0.1905581206083297,0.9744190573692322,0.8356134295463562,0.1656447201967239,0.5486449599266052
1,0.239548921585083,0.8793492913246155,0.8605951070785522,0.2142325192689895,0.4833607673645019,0.1634814888238906,0.9237263202667236,0.8356819748878479,0.1687391549348831,0.1723257899284362
2,0.2569217681884765,0.8133489489555359,0.8598127961158752,0.237648531794548,0.4084648191928863,0.1801146417856216,0.8919315934181213,0.8389448523521423,0.1807535737752914,0.2040157169103622
3,0.2705124020576477,0.7866366505622864,0.8604073524475098,0.256608098745346,0.3735884726047516,0.1293831318616867,0.9228841066360474,0.8366098403930664,0.1895849704742431,0.0663060918450355
4,0.2826681435108185,0.7704222202301025,0.857872486114502,0.2797913551330566,0.316200852394104,0.1915776580572128,0.857654333114624,0.8465977311134338,0.2090758234262466,0.2069157361984253
5,0.2986087501049042,0.7608411312103271,0.8602913618087769,0.3006367683410644,0.3200052976608276,0.1896450966596603,0.8693132400512695,0.8617097735404968,0.275206059217453,0.299191266298294
6,0.3049822449684143,0.745537281036377,0.8592844009399414,0.312875747680664,0.2995378077030182,0.0864034295082092,0.980958878993988,0.8369442820549011,0.2734971344470978,0.0258356090635061
7,0.3105899691581726,0.7447933554649353,0.8595823049545288,0.3202337324619293,0.2969853281974792,0.2227982282638549,0.8257161378860474,0.8746285438537598,0.3417298793792724,0.3889318406581878
8,0.3145114183425903,0.7350034713745117,0.8582075238227844,0.3317568898200989,0.2799271047115326,0.0062977201305329,1.036893606185913,0.8350364565849304,0.2550545036792755,0.0012970990501344
9,0.3171817362308502,0.7386073470115662,0.8574893474578857,0.3398454785346985,0.2695784270763397,0.1650069802999496,0.8966353535652161,0.8425650596618652,0.3678905069828033,0.0775967761874198
10,0.3134452700614929,0.7336155772209167,0.8588647842407227,0.3291329741477966,0.2864447832107544,0.1571376025676727,0.8870140314102173,0.8422536849975586,0.3657790124416351,0.0823367461562156
11,0.3173717856407165,0.7251374125480652,0.8592110276222229,0.336255818605423,0.2791979014873504,0.1735322922468185,0.8872292041778564,0.8449956774711609,0.3864410817623138,0.1108505725860595
12,0.3190629780292511,0.7357057332992554,0.8627627491950989,0.3251749277114868,0.3252721428871155,0.1872105002403259,0.8627331256866455,0.8461902141571045,0.220392033457756,0.2591896057128906
13,0.3251911103725433,0.7232341766357422,0.8627086877822876,0.3362448215484619,0.3131580352783203,0.1439446359872818,0.9057384133338928,0.8431012034416199,0.3021840751171112,0.08606618642807
14,0.3313698470592499,0.7218875885009766,0.8600443601608276,0.3543682992458343,0.2832040190696716,0.2379548549652099,0.8038831949234009,0.9115324020385742,0.2279704362154007,0.7336614727973938
15,0.3276073336601257,0.7175793647766113,0.8596487045288086,0.3494495153427124,0.2829038202762604,0.0356208719313144,1.015125751495361,0.8349754214286804,0.1715052872896194,0.0090343812480568
16,0.3339250981807709,0.7219024300575256,0.8621833920478821,0.3538659512996673,0.2927406728267669,0.1011739298701286,0.9451079368591307,0.8380131125450134,0.323556512594223,0.03615178540349
17,0.3348170816898346,0.7130905985832214,0.8605257272720337,0.3595242500305176,0.2804573476314544,1.7595624512978247e-06,1.0521396398544312,0.8349192142486572,0.2671486735343933,3.519148776831571e-07
18,0.3398313820362091,0.7075465321540833,0.8615440130233765,0.3626492321491241,0.2933548390865326,0.1789412945508957,0.85892254114151,0.8448329567909241,0.4333909451961517,0.0986320078372955
19,0.3207537829875946,0.7282971739768982,0.8589990735054016,0.3428315818309784,0.2747742831707001,0.1915063858032226,0.861868679523468,0.845879316329956,0.4389213621616363,0.1006456017494201
20,0.3341867625713348,0.7115147113800049,0.8604432344436646,0.358029156923294,0.2816912233829498,9.409302583662792e-05,1.0520068407058716,0.8349198698997498,0.2083196640014648,1.8827819076250307e-05
21,0.3416655957698822,0.7087290287017822,0.8606875538825989,0.3719664812088012,0.2789388000965118,0.1309782713651657,0.9153195023536682,0.839604377746582,0.377911776304245,0.048400804400444
22,0.3255098462104797,0.730228841304779,0.8584648966789246,0.3511153161525726,0.2796142101287842,0.2230861932039261,0.8337932229042053,0.8672301173210144,0.3391288220882416,0.311115950345993
23,0.3390977084636688,0.7110031247138977,0.8598018288612366,0.3708969950675964,0.2737525403499603,0.0985933542251586,0.9574319124221802,0.8372694849967957,0.2491684705018997,0.0467166602611541
24,0.334531307220459,0.7522081136703491,0.859653115272522,0.3630115091800689,0.2756707668304443,0.0312197636812925,1.0358806848526,0.8358548283576965,0.2928763628005981,0.0074927792884409
